"rev_Mean","mou_Mean","totmrc_Mean","mou_Range","mou_cvce_Mean","mou_rvce_Mean","owylis_vce_Mean","mouowylisv_Mean","churn","totrev","avgrev","avg3mou","avg6mou","hnd_webcap","eqpdays","Customer_ID"
95.1675,161,88.5425,129,54.34666667,31.62,14,14.33333333,0,4102.69,76.85,135,221,"WC",1116,1000106
90.6125,1151.25,94.99,474,409.0933333,476.0466667,19.33333333,26.38666667,1,3827.49,71.23,1076,871,"NA",1599,1000107
103.08,987.5,79.99,447,443.83,199.2533333,30,27.94666667,1,3340.74,67.65,1039,998,"WC",693,1000108
226.005,2337.5,78,629,934.2933333,609.7233333,32,74.15666667,0,6453.46,126.99,2459,2618,"WCMB",240,1000109
94.925,1655.75,75,412,875.54,197.89,42.66666667,39.85,1,4811.88,93.22,1673,1724,"WC",314,1000110
105.845,784,79.99,204,89.23333333,479.1233333,16.33333333,2.273333333,0,7997.44,146.7,794,1018,"WCMB",452,1000111
34.94,294.5,32.705,165,120.1133333,87.56333333,5,1.786666667,1,1347.22,32.98,269,278,"WC",765,1000112
30.26,24.75,29.99,69,5.026666667,1.64,0,0,0,1284.5,32.75,33,24,"NA",1515,1000113
90.75,1229,69.99,713,304.9866667,516.5666667,100.6666667,104.9666667,1,3585.21,73.54,1314,1202,"WCMB",263,1000114
113.5225,1807.25,85,640,726.82,658.3366667,37,38,0,5793.13,114.55,1932,1924,"WCMB",387,1000115
51.4625,368,44.99,338,154.93,81.86,26.33333333,25.83,1,1960.56,44.02,426,484,"NA",701,1000116
35.5825,291.25,44.99,204,136.1533333,76.33,5,3.693333333,0,405.83,31.27,297,196,"WCMB",135,1000117
125.47,1697.25,75,898,726.6466667,187.77,204.3333333,180.0466667,0,6165.85,121.34,1753,1606,"WCMB",133,1000118
114.5425,1171.5,83,552,242.1033333,353.5266667,91.66666667,94.90666667,0,5419.91,101.5,1110,1327,"NA",773,1000119
18.25,8,16.99,32,0,0,0,0,1,1026.04,20.99,11,6,"WCMB",206,1000120
33.85,225,29.99,376,60.57666667,156.56,3,19.53666667,0,2501.99,58.7,200,172,"NA",1619,1000121
78.575,1356.5,74.99,174,0,0,0,0,0,5721,101.33,1371,1591,"WCMB",168,1000122
138.48,1579.75,76.99,1010,484.4433333,650.5133333,56.66666667,39.10333333,1,7152.21,142.82,1692,1372,"WCMB",336,1000123
159.5175,2255.75,82.99,4608,948.69,753.2366667,119.6666667,202.43,1,6769.75,129.36,3002,3149,"WCMB",318,1000124
21.55,14.5,19.99,37,1.933333333,2.893333333,0,0,0,2118.57,41.15,19,13,"WC",586,1000125
50.485,711,49.99,255,173.81,282.6033333,73.33333333,61.23,0,2972.76,56.37,729,740,"WCMB",430,1000126
75,342.75,75,234,133.1566667,134.99,9,2.98,0,4293.64,75.95,363,269,"WCMB",581,1000127
281.33,3807.75,182.9375,1485,1462.463333,1208.423333,169,233.3866667,0,7437.16,155.24,3806,3083,"WCMB",77,1000128
97.8275,1669.5,83,515,588.6766667,477.35,53.33333333,27.62,0,4998.28,97.34,1589,1625,"WCMB",116,1000129
12.4925,437,10,530,297.2666667,0,0.333333333,0.173333333,1,2012.33,34.17,515,480,"WCMB",656,1000130
122.76,1633.25,77.5,421,401.5133333,571.12,124.3333333,75.10666667,1,3863.35,94.59,1714,2105,"WCMB",72,1000131
38.325,483.25,50,130,309.55,84.63,31.66666667,40.48666667,1,2191.61,50.91,500,575,"WCMB",504,1000132
55.505,516,50,290,214,79.75,20.33333333,17.27,0,2684.93,51.63,531,489,"WCMB",45,1000133
83.495,256.5,83,813,141.2533333,60.69666667,4,2.16,1,4307.11,83.25,342,299,"WC",709,1000134
70.19,797.25,60,304,195.8433333,300.8733333,22,20.73,0,3637.23,74.03,800,700,"WCMB",10,1000135
18,14.25,15,13,4.196666667,5.773333333,0,0,0,1108.15,20.07,17,20,"WCMB",234,1000136
58.8225,250,29.99,159,93.50333333,22.24666667,7.666666667,3.74,0,2503.84,52.5,234,203,"WCMB",296,1000137
30.8625,181,30,261,111.5366667,22.63,41.33333333,26.75666667,1,1597.31,32.21,230,136,"WCMB",574,1000138
104.745,1166,75,194,396.02,338.1033333,80,64.97333333,0,6721.36,137.23,1206,1275,"WCMB",710,1000139
83.9375,1276.25,84.99,177,283.3,723.5133333,15,12.97333333,1,4701.1,85.29,1248,1219,"NA",1053,1000140
22.555,56,16.99,85,22.70666667,8.573333333,2.666666667,2.366666667,1,1104.32,21.65,40,57,"NA",1672,1000141
157.76,1328.5,79.1575,213,622.1766667,280.1433333,66.33333333,79.35,0,3971.38,99.9,1371,1295,"WCMB",616,1000142
260.805,3209.75,212.99,1136,1394.973333,824.9166667,141.6666667,179.63,0,11911.76,226.91,3350,3752,"WCMB",124,1000143
74.24,221.25,45,425,99.97333333,17.37666667,17,10.74666667,1,4133.51,74.88,290,398,"WCMB",826,1000144
36.39,65.5,29.99,229,0.823333333,0,0.666666667,0.023333333,1,4425.28,89.68,87,499,"WC",754,1000145
78.0675,641.25,75,326,237.0933333,125.2966667,39.66666667,43.32333333,1,4271.11,82.76,578,730,"WC",285,1000146
50,153.75,50,81,60.32666667,23.96666667,18,10.60666667,0,2091.04,51.18,169,170,"NA",1565,1000147
106.3325,2205.5,84.99,418,564.6966667,901.6766667,56.33333333,55.32333333,1,4725.59,89.4,2240,2008,"WCMB",151,1000148
79.2825,425.5,75,537,265.6933333,130.53,26,20.11,1,4831.82,84.46,504,366,"WCMB",385,1000149
122.005,1806.5,75,708,899.5366667,409.8866667,50,46.05,0,4766.58,93.1,1858,1554,"WCMB",69,1000150
34.99,43.75,44.99,76,13.40333333,6.783333333,1.666666667,0.58,0,1357.06,29.72,55,72,"WC",270,1000151
40.6825,270.75,44.99,293,141.7166667,40.68666667,6,6.75,1,2114.12,49.25,225,300,"WCMB",57,1000152
79.1775,724.75,74.99,103,309.2033333,95.30333333,67.33333333,85.69333333,0,4410.41,89.03,720,689,"WCMB",626,1000153
120.38,1729.5,86.98,1172,508.2133333,438.5766667,132.3333333,149.45,0,5810.38,105.31,1571,1486,"WCMB",241,1000154
27.245,0,27,0,0,0,0,0,1,1733.22,35.38,0,11,"WC",383,1000155
74.055,1299.5,75,472,190.1633333,446.18,38.33333333,20.12666667,1,4350.65,81.11,1237,1579,"WCMB",107,1000156
96.04,545,59.99,1255,189.6533333,38.16333333,12,17.48333333,0,1409.27,78.65,545,461,"WCMB",109,1000157
56.025,557.25,50,313,202.9566667,129.3633333,36,68.34666667,0,3067.2,58.48,541,653,"WC",740,1000158
83.825,790.5,75,135,328.64,197.0366667,57.66666667,34.29,1,4153.88,80.85,811,973,"WC",638,1000159
30.3225,218.75,30.3225,181,189.5366667,12.58666667,6,3.596666667,0,2793.6,54.09,238,201,"WC",776,1000160
30,17.5,30,31,17.72333333,3.793333333,0,0,1,1710.13,30.76,22,30,"NA",1669,1000161
108.7225,1228.5,107.98,73,340.64,480.2466667,68.33333333,94.63333333,0,5754.55,108.47,1233,1432,"WCMB",226,1000162
43.0025,217.5,29.99,153,140.0966667,10.92,3.333333333,1.956666667,1,4082.29,83.66,218,202,"WC",805,1000163
32.27,112.5,31.98,80,44.67,17.12,6,4.143333333,0,1400.34,29.46,113,113,"WCMB",517,1000164
75.875,1060.75,75,226,567.85,64.48333333,18,11.93,1,4040.71,78.49,1027,1121,"WCMB",206,1000165
30.2375,268.5,39.99,157,132.5866667,76.01666667,7.333333333,13.01333333,1,2731.38,50.43,248,285,"WCMB",485,1000166
41.7925,146.75,43.865,156,75.58666667,49.78666667,5,3.226666667,0,1155.14,28.7,174,131,"WCMB",185,1000167
90.2975,1488.75,75,1055,706.2466667,195.43,59,67.82,1,4552.73,88.68,1383,1491,"WCMB",734,1000168
43.715,244.75,29.99,123,88.12,72.16,27.33333333,32.31,0,1591.14,31.02,227,210,"WCMB",180,1000169
65.9425,572.25,58.78,174,162.2633333,293.4633333,1.333333333,1.646666667,0,1795.65,35.91,612,561,"WCMB",275,1000170
32.4975,295,29.9975,83,155.2966667,20.75333333,26.66666667,22.70333333,0,1452.06,25.7,281,275,"WCMB",181,1000171
61.5,796.25,50,495,226.8033333,282.2833333,72.66666667,42.05333333,0,2624.01,53.39,812,593,"WC",769,1000172
52.505,481,29.99,540,222.6,76.03333333,22.33333333,10.69,1,2741.67,50.07,509,506,"WCMB",249,1000173
63.4075,1181,10,245,584.4166667,223.7066667,164,220.2233333,1,3319.79,67.22,1129,1064,"WCMB",143,1000174
17.3525,1.25,16.95,5,0.04,0,0,0,0,753.75,16.28,2,1,"NA",1497,1000175
109.465,2297.75,84.99,769,1092.77,581.5633333,28.66666667,52.63,0,5170.45,100.71,2341,2019,"WCMB",153,1000176
79.39,848,69.99,302,0,0,0,0,0,3106.82,57.87,875,752,"WCMB",422,1000177
90.8975,1710,75,1602,749.53,591.8133333,38.66666667,37.98,1,5100.74,93.45,2017,2071,"WCMB",132,1000178
284.9325,3794.25,75,1057,2050.93,834.98,26.66666667,35.51666667,1,7369.29,147.43,3648,3351,"WCMB",88,1000179
64.105,135.25,60,166,81.78666667,23.93,2,0.823333333,1,7974.17,151.73,154,128,"NA",1044,1000180
103.16,865.5,37.5,172,440.5266667,35.81333333,23.66666667,19.15333333,0,3321.54,67.65,899,780,"WCMB",418,1000181
164.14,1410,75,971,817.5666667,201.6566667,48.66666667,61.97666667,1,4987.4,97.6,1583,1227,"WCMB",395,1000182
117.12,489.5,69.99,794,227.3733333,103.5166667,26.66666667,39.17666667,1,2558.26,52.06,321,279,"WCMB",279,1000183
8.075,34,5,36,11.5,7.44,0,0,1,3204.4,68.43,32,36,"WCMB",411,1000184
41.2925,71,39.98,68,8.09,17.76,1.333333333,0.94,0,1822.44,36.17,78,64,"WCMB",561,1000185
87.3175,937.75,75,867,315.83,239.02,32.66666667,60.86666667,1,3916.11,92.57,1104,1516,"WCMB",206,1000186
29.8875,98.5,36.285,85,19.69333333,54.32333333,3.333333333,2.916666667,0,1297.56,26.37,87,68,"WCMB",94,1000187
93.46,1097.5,75,544,621.4866667,173.08,43.66666667,56.73333333,1,4272.38,86.89,1217,1163,"WC",476,1000188
111.9375,2060.5,85,1162,939.7266667,451.5166667,220,297,0,6956.08,127.29,2312,2307,"WC",409,1000189
105.7025,636.25,53,595,260.1866667,286.5533333,36,59.29,0,4393.01,79.75,769,761,"WCMB",253,1000190
180.225,3559,149.99,699,1389.553333,1543.686667,26.66666667,28.74,1,8127.27,156.91,3609,3323,"WC",-3,1000191
41.085,340,34.98,278,103.4366667,80.75,11,12.71,1,2004.44,52.36,391,389,"NA",1493,1000192
92.1275,852.5,75,439,337.8566667,203.1033333,23,47.26,1,4286.46,83.75,831,796,"WCMB",135,1000193
173.6675,464.5,159.99,444,164.87,314.6866667,39.33333333,48.39,1,5731.79,107.46,539,655,"WCMB",542,1000194
15,0,15,0,0,0,0,0,1,1650.41,32.57,0,18,"NA",1553,1000195
46.935,287,30,460,162.0833333,48.4,17.33333333,15.37333333,0,2773.73,53.2,306,266,"NA",831,1000196
139.2925,2023.5,75,1076,905.2666667,675.4433333,182,214.21,1,6237.25,129.91,2050,1724,"NA",584,1000197
35.305,35.25,34.99,36,25.84,0.313333333,0.666666667,0.64,1,1547.93,32.45,43,38,"NA",1490,1000198
13.25,0,10,0,0,0,0,0,1,1293.48,25.6,0,0,"NA",1333,1000199
166.4275,2745.5,83,1478,776.0366667,475.57,378,125.2066667,0,8233.95,162.74,2869,2863,"WCMB",252,1000200
27.5275,24,25,48,11.20333333,0,0,0,1,1450.25,31.05,32,35,"NA",1489,1000201
75.125,1386.5,75,336,0,0,0,0,1,4678.5,85.62,1325,1477,"WCMB",165,1000202
44.96,3584.25,58.785,3327,1321.813333,732.5666667,147.6666667,300.7533333,1,4807.11,94.29,3930,2913,"WCMB",489,1000203
28.725,50,29.99,82,29.63333333,8.783333333,3,2.676666667,1,1290.23,25.45,54,34,"WCMB",503,1000204
50.3075,485.25,50,250,160.5,144.84,25,19.85666667,0,2824.1,53.16,440,535,"WCMB",318,1000205
90.335,759.75,75,594,237.8466667,243.7366667,27,28.19,1,4052.8,83.57,900,653,"WC",397,1000206
50.5325,194.5,20,218,91.85666667,25.73,14,15.35333333,0,1708.84,35.08,160,134,"WCMB",315,1000207
23.5,18.5,5,31,17.58666667,0,0,0,1,1398.75,26.49,25,22,"NA",1595,1000208
77.04,501,44.99,1051,405.5833333,77.87333333,12.33333333,26.75333333,1,1458.61,30.07,539,297,"NA",672,1000209
166.8175,3206,83,921,668.56,1513.583333,116.6666667,59.42666667,0,7149.29,146.94,3118,2963,"WCMB",77,1000210
111.615,1161,104.99,378,456.9266667,402.6366667,35.66666667,25.19333333,0,6179.28,114.81,1175,1216,"WCMB",299,1000211
90.74,1155.5,89.99,246,361.39,411.4366667,58.33333333,33.37,0,4590.73,90.17,1157,992,"WCMB",506,1000212
133.62,1814.25,75,2240,699.73,616.78,106.6666667,123.0266667,1,3880.55,93.58,2288,2237,"WCMB",216,1000213
111.6975,143.25,107.49,91,50.33,8.336666667,57,20.59666667,1,4780.94,91.38,155,126,"NA",1592,1000214
76.58,574.75,50,990,222.8666667,45.88666667,10.66666667,8.79,1,2463.19,50.24,367,254,"NA",1485,1000215
101.49,1728.5,75,492,622.8933333,529.67,67,57.59333333,0,4224.85,80.71,1622,1537,"WCMB",78,1000216
33.52,26.25,30,8,0.39,11.77666667,0.666666667,0.39,0,4066.9,78.12,25,32,"NA",670,1000217
18.71,4.5,18.3875,10,1.756666667,0,0,0,1,1972.03,36.82,6,7,"NA",1592,1000218
52.29,812.25,50,219,173.96,220.7066667,67.66666667,34.36,1,3085.92,59.4,854,811,"WCMB",25,1000219
19.2375,1.25,19.99,3,0,0,0,0,1,4599.14,91.51,1,633,"WCMB",198,1000220
105.9175,1458,84.99,729,620.6133333,346.43,69.33333333,66.72666667,1,4826.35,96.41,1446,1787,"WCMB",452,1000221
81.6025,149.25,73.9425,192,93.38666667,33.12333333,4.666666667,2.24,0,1799.83,35.18,125,104,"WCMB",329,1000222
101.65,174.25,75,531,18.54333333,14.83666667,10,12.75,1,5139.24,104.84,200,416,"NA",634,1000223
85.5825,890,75,603,229.51,136.2866667,96.33333333,51.96666667,1,4437.82,90.84,962,831,"NA",475,1000224
17.145,0.75,16.99,3,0,0,0,0,1,2086.01,45.71,1,1,"NA",1483,1000226
51.14,438,49.99,207,287.6733333,39.34,7.333333333,5.766666667,1,3709.8,70.41,414,430,"NA",1590,1000227
56.485,355,55,286,65.95333333,205.77,2,0.746666667,1,2502.94,50.38,412,350,"NA",669,1000228
130.6925,2308,75,1188,1019.193333,605.2166667,208.6666667,341.7566667,1,5919.04,119.19,2086,2331,"WCMB",166,1000229
87.5175,699,80,225,274.86,272.07,72,102.18,0,4561.3,83.16,728,847,"WCMB",99,1000230
108.4175,1501.5,75,1007,1061.13,139.2866667,111.3333333,136.8466667,1,5911.56,122.32,1472,1144,"WCMB",515,1000231
103.505,479,75,395,182.07,125.3166667,37,32.12333333,0,5290.23,106,534,591,"WCMB",86,1000233
